title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
National Treasure: Book of Secrets, BV, $219964115, 3832, $44783772, 3832, 12/21/2007
Native Son, Cinc, $1301121, n/a, n/a, n/a, 12/12/1986
Nativity 3: Dude Where's My Donkey?!, N/A, n/a, n/a, n/a, n/a, TBD
The Nativity Story, NL, $37629831, 3083, $7849304, 3083, 12/1/2006
The Natural, TriS, $47951979, 1012, $5088381, 989, 5/11/1984
Natural Born Killers, WB, $50282766, 1904, $11166687, 1510, 8/26/1994
Natural Born Pranksters, LGF, n/a, n/a, n/a, n/a, 4/1/2016
Natural Selection, CGld, $55282, 3, $10375, 1, 3/16/2012
Nature Calls, Magn., $646, 2, $382, 2, 11/9/2012
The Nature of Existence, WS, $54645, 4, $2977, 1, 6/18/2010
The Navigator (Re-issue), Circ, $1333379, n/a, n/a, n/a, 3/3/1989
The Navigators, First, $3052, 1, $1940, 1, 2/21/2003
Navy Seals, Orion, $25069101, 1355, $6543832, 1341, 7/20/1990
Neal -N- Nikki, Yash, $111551, 44, $75005, 44, 12/9/2005
Near Dark, DEG, $3369307, 429, $635789, 262, 10/2/1987
Nearing Grace, Whtw., n/a, 63, n/a, 63, 10/13/2006
'Neath the Arizona Skies, Monog., n/a, n/a, n/a, n/a, 12/5/1934
Nebraska, Par., $17654912, 968, $140401, 4, 11/15/2013
Necessary Roughness, Par., $26255594, 1695, $6513130, 1695, 9/27/1991
Ned Kelly, Focus, $86959, 22, $43704, 22, 3/26/2004
Need for Speed, BV, $43577636, 3115, $17844939, 3115, 3/14/2014
Needful Things, Col., $15185672, 1986, $5202478, 1963, 8/27/1993
Neerja, FIP, $1585687, 121, $626528, 73, 2/19/2016
The Negotiator, WB, $44547681, 2436, $10218831, 2436, 7/31/1998
Neighboring Sounds, CGld, $60255, 3, $12666, 2, 8/24/2012
Neighbors, Uni., $150157400, 3311, $49033915, 3279, 5/9/2014
Neighbors (1981), Col., $29916207, 1387, $6481386, 1387, 12/18/1981
Neighbors 2: Sorority Rising, Uni., $55455765, 3416, $21760405, 3384, 5/20/2016
Neil Young Journeys, SPC, $215026, 23, $12025, 3, 6/29/2012
Neil Young: Heart of Gold, ParC, $1904606, 65, $53908, 4, 2/10/2006
Neither Heaven Nor Earth, FM, $12810, 3, $2836, 1, 8/5/2016
Nell, Fox, $33683817, 1236, $62663, 2, 12/16/1994
Nelly and Monsieur Arnaud, A.Eye, $950237, n/a, n/a, n/a, 6/21/1996
Nemesis, Imp, $2001124, 86, $197231, 86, 1/29/1993
Nenette, Kino, $18009, 3, $1176, 1, 12/22/2010
The Neon Bible, Strand, $78072, 3, $5045, 1, 3/1/1996
Neon Bull, KL, $26734, 4, $6413, 1, 4/8/2016
The Neon Demon, BG, $1333124, 783, $589014, 783, 6/24/2016
Neon Flesh, Trib., n/a, 1, n/a, 1, 2/24/2012
The Neptune Factor, Fox, n/a, n/a, n/a, n/a, 8/3/1973
Neptune's Daughter, MGM, n/a, n/a, n/a, n/a, 6/9/1949
Neruda, Orch., $939101, 46, $29402, 3, 12/16/2016
Nerve, LGF, $38583626, 2538, $9445456, 2538, 7/27/2016
Neshoba: The Price of Freedom, FRun, $19245, 2, $4645, 1, 8/13/2010
Nest of Vipers, Par., $27182, n/a, n/a, n/a, 9/7/1979
The Net, Sony, $50727965, 2027, $10037745, 1906, 7/28/1995
Network, MGM, $23689877, n/a, n/a, n/a, 11/27/1976
Neuba Yol: Abajo La Nueva Ley, Prkr, $1354652, n/a, n/a, n/a, 2/14/1996
Never, Indic., $20431, 4, $4312, 2, 8/19/2016
Never Again, Focus, $307631, 35, $33088, 5, 7/12/2002
Never Back Down, Sum., $24850922, 2729, $8603195, 2729, 3/14/2008
Never Been Kissed, Fox, $55474756, 2500, $11836707, 2455, 4/9/1999
Never Been Thawed, Slip., $47219, 1, $7048, 1, 4/15/2005
Never Cry Wolf, BV, $29600000, 540, $1116437, 88, 10/7/1983
Never Die Alone, FoxS, $5645298, 1160, $3089993, 1160, 3/26/2004
Never Forever, ArtsA, $14485, 2, $6529, 2, 4/11/2008
Never Give a Sucker an Even Break, Uni., n/a, n/a, n/a, n/a, 10/10/1941
Never Here, VE, n/a, n/a, n/a, n/a, 10/20/2017
Never Let Me Go, FoxS, $2434652, 232, $111734, 4, 9/15/2010
Never Say Never Again, WB, $55432841, 1560, $10958157, 1550, 10/7/1983
Never Stand Still: Dancing at Jacob's Pillow, FRun, $14272, 2, $1951, 1, 5/18/2012
Never Talk to Strangers, Sony, $6858261, 1510, $2903457, 1510, 10/20/1995
The Neverending Story, WB, $20158808, 950, $4325823, 950, 7/20/1984
The Neverending Story II, WB, $17373527, 1208, $4912124, 1188, 2/8/1991
The Neverending Story III, Mira., n/a, n/a, n/a, n/a, 2/2/1996
New Adventures of Pippi Longstocking, Col., $3569939, 844, $933462, 844, 7/29/1988
The New Age, WB, $245217, 12, n/a, n/a, 9/16/1994
New Best Friend, Sony, $46375, 100, $28658, 100, 4/12/2002
A New Day in Old Sana'a, Arab, $737, 1, $401, 1, 11/10/2006
The New Girlfriend, Cohen, $146754, 45, $39035, 13, 9/18/2015
The New Guy, SonR, $29760152, 2687, $9007833, 2687, 5/10/2002
New in Town, LGF, $16734283, 1941, $6741530, 1941, 1/30/2009
New Jack City, WB, $47624353, 905, $7039622, 862, 3/8/1991
New Jersey Drive, Gram., $3565508, 210, $1395028, 210, 4/21/1995
The New Kids, Col., $199108, 102, $199108, 102, 1/18/1985
New Life, Argentum, n/a, n/a, n/a, n/a, 10/28/2016
A New Life, Par., $7721852, 796, $2505092, 796, 3/25/1988
New Mutants, Fox, n/a, n/a, n/a, n/a, 4/13/2018
The New Rijksmuseum, FRun, $40578, 5, $2631, 3, 6/19/2015
New Rose Hotel, Lions, $21521, 2, $5147, 1, 10/1/1999
New Suit, Tril., $71743, 7, $13239, 7, 5/2/2003
The New Twenty, Argo., $17625, 1, $6272, 1, 3/20/2009
New Waterford Girl, Ode., $774469, 20, $40251, 4, 6/2/2000
The New World, NL, $12712093, 811, $30864, 3, 12/25/2005
New World (2013), WGUSA, $457806, 24, $129954, 24, 3/22/2013
New World Order, Indic., $20205, 3, $2790, 2, 9/23/2016
New Year's Day, RBR, $36106, n/a, n/a, n/a, 12/13/1989
New Year's Eve, WB (NL), $54544638, 3505, $13019180, 3505, 12/9/2011
The New Year's Eve of Old Lee, CL, $25358, 6, $15519, 6, 2/12/2016
New York, Yash, $997437, 60, $467694, 60, 6/26/2009
New York Doll, FInd., $219672, 11, $17583, 5, 10/28/2005
New York in the 50's, Avat., $11882, 1, $4552, 1, 2/9/2001
New York Minute, WB, $14071441, 3006, $5962106, 3006, 5/7/2004
New York Stories, BV, $10763469, 514, $432337, 12, 3/3/1989
New York I Love You, Viv., $1588015, 118, $380605, 118, 10/16/2009
New York New York, UA, $16400000, n/a, n/a, n/a, 6/22/1977
New York New York (2016), CL, $92377, 16, $42239, 16, 4/15/2016
Newlyweds, Trib., $4584, 1, $4584, 1, 1/13/2012
News From Planet Mars, KL, $310, 1, $24, 1, 7/22/2016
Newsies, BV, $2819485, 1259, $1232508, 1223, 4/10/1992
Newsies: The Broadway Musical, Fathom, $2545060, 780, $1333538, 780, 2/18/2017
newt, N/A, n/a, n/a, n/a, n/a, TBD
The Newton Boys, Fox, $10452012, 1969, $4010245, 1965, 3/27/1998
Newtown, Abr., $14109, 3, $6796, 2, 10/7/2016
Next, Par., $18211013, 2733, $7133049, 2725, 4/27/2007
The Next Best Thing, Par., $14990582, 2035, $5870387, 2007, 3/3/2000
The Next Big Thing, Castle, $14600, n/a, n/a, n/a, 5/29/2002
Next Day Air, Sum., $10027047, 1139, $4111043, 1138, 5/8/2009
Next Friday, NL, $57328603, 1420, $14465156, 1103, 1/12/2000
Next Goal Wins, KE, $43089, 10, $2568, 5, 4/25/2014
The Next Karate Kid, Col., $8914777, 1489, $2620484, 1489, 8/12/1994
The Next Man, AAP, n/a, n/a, n/a, n/a, 11/10/1976
Next of Kin, WB, $15942628, 1358, $4805516, 1358, 10/20/1989
Next Stop Wonderland, Mira., $3395581, 224, $123055, 8, 8/21/1998
The Next Three Days, LGF, $21148651, 2564, $6542779, 2564, 11/19/2010
Next Time I'll Aim for the Heart, Distrib., $815, 1, $310, 1, 4/1/2016
Next Time We Love, Uni., n/a, n/a, n/a, n/a, 1/30/1936
Next Year Jerusalem, FRun, $8093, 2, $2590, 1, 5/16/2014
Nez Rouge, Chri., $2004814, 90, $217000, 32, 11/28/2003
NFB of Canada Animation Festival, EXPe, $249167, 11, $49551, 11, 12/26/1991
NH10, Eros, $303587, 40, $149546, 40, 3/13/2015
Niagara Niagara, Art., $214661, 33, $16745, 3, 3/20/1998
Nice Girls Don't Explode, NW, $65000, n/a, n/a, n/a, 4/3/1987
The Nice Guys, WB, $36261763, 2865, $11203270, 2865, 5/20/2016
Nicholas Nickleby, MGM, $1587173, 100, $42864, 5, 12/27/2002
Nick and Norah's Infinite Playlist, Sony, $31487293, 2421, $11311751, 2421, 10/3/2008
Nick of Time, Par., $8175346, 1849, $2781601, 1849, 11/22/1995
Nick Saban: Gamechanger, FLF, $188786, 26, $188786, 26, 8/27/2010
Nico and Dani, Avat., $370562, 8, $16942, 3, 2/2/2001
Nico-Icon, Roxie, $306691, 4, n/a, n/a, 9/8/1995
Nicole, BV, n/a, n/a, n/a, n/a, 11/8/2019
Nicotina, Aren, $1117864, 96, $446768, 96, 8/20/2004
Night Across the Street, CGld, $16778, 2, $3248, 1, 2/8/2013
Night and Day, WB, n/a, n/a, n/a, n/a, 7/2/1946
Night and Day (1992), ICir, $6397, 1, $4754, 1, 12/11/1992
Night and the City, Fox, $6202756, 1100, $43036, 1, 10/16/1992
Night at the Golden Eagle, Key., $17643, 3, $7380, 3, 4/26/2002
Night at the Museum, Fox, $250863268, 3768, $30433781, 3685, 12/22/2006
Night at the Museum: Battle of the Smithsonian, Fox, $177243721, 4101, $54173286, 4096, 5/22/2009
Night at the Museum: Secret of the Tomb, Fox, $113746621, 3914, $17100520, 3785, 12/19/2014
A Night at the Roxbury, Par., $30331165, 2169, $9604791, 1865, 10/2/1998
The Night Before, Sony, $43047372, 2960, $9880536, 2960, 11/20/2015
Night Catches Us, Magn., $76185, 9, $13562, 4, 12/3/2010
Night Crossing, BV, $8000000, 640, $1547912, 640, 2/5/1982
Night Falls on Manhattan, Par., $9889670, 758, $2933255, 758, 5/16/1997
The Night Flier, NL, $125397, 95, $91549, 95, 2/6/1998
Night Game, TWE, $337812, n/a, n/a, n/a, 9/15/1989
A Night in Heaven, Fox, $5563663, 901, $1835421, 901, 11/18/1983
Night in the Life of Jimmy Reardon, Fox, $6264058, 882, $2737106, 881, 2/26/1988
The Night Listener, Mira., $7836393, 1370, $3554134, 1367, 8/4/2006
Night Moves, Cdgm., $271755, 56, $21488, 2, 5/30/2014
Night Nurse, WB, n/a, n/a, n/a, n/a, 7/16/1931
Night of Henna, Illm., $16027, 8, $2184, 2, 3/4/2005
Night of the Comet, Atl, $14418922, 1098, $3580578, 1098, 11/16/1984
Night of the Creeps, TriS, $591366, 70, $220800, 70, 8/22/1986
Night of the Demons (1988), Prgn, $3109904, n/a, n/a, n/a, 10/14/1988
Night of the Demons (2009), 7Arts, n/a, n/a, n/a, n/a, TBD
Night of the Ghouls, N/A, n/a, n/a, n/a, n/a, 1959
The Night of the Hunter, UA, n/a, n/a, n/a, n/a, 9/29/1955
The Night of the Iguana, MGM, n/a, n/a, n/a, n/a, 8/6/1964
Night of the Living Dead, Col., $5835247, 1544, $2884679, 1544, 10/19/1990
Night of the Living Dead (2017 4k Restoration), Jan., $89029, 8, $5452, 1, 10/13/2017
Night of the Living Dead 3D, MME, $271000, 145, $215300, 145, 11/10/2006
The Night of the Shooting Stars, MGM, $2251121*, n/a, n/a, n/a, 1/21/1983
The Night of the Shooting Stars (Re-issue), Cohen, $6186*, 1, $4414, 1, 8/12/2015
Night on Earth, FL, $2015810, 40, $34039, 2, 5/1/1992
Night School, Par., $1169875, n/a, n/a, n/a, 9/11/1981
Night School (2017), Osci., $4663, 2, $1588, 1, 6/9/2017
Night School (2018), Uni., n/a, n/a, n/a, n/a, 9/28/2018
Night Shift, WB, $21095638, 683, $2539633, 683, 7/30/1982
The Night Stalker, ALM, n/a, n/a, n/a, n/a, 10/17/1986
The Night the Lights Went Out in Georgia, AVCO, $14923752, n/a, n/a, n/a, 8/7/1981
Night Visitor, MGM, $166635, n/a, n/a, n/a, 5/12/1989
Night Watch (Nochnoi Dozor), FoxS, $1502188, 158, $86985, 3, 2/17/2006
The Night We Never Met, Mira., $1884814, 504, $911736, 504, 4/30/1993
'Night Mother, Uni., $441863, 35, $49164, 3, 9/12/1986
Nightbreed, Fox, $8862354, 1488, $3708918, 1488, 2/16/1990
The Nightcomers, AVCO, n/a, n/a, n/a, n/a, 2/15/1972
Nightcrawler, ORF, $32381217, 2766, $10441000, 2766, 10/31/2014
Nightflyers, NCeV, $1149470, n/a, n/a, n/a, 10/23/1987
Nighthawks, Uni., $14905359, n/a, $2525360, 659, 4/10/1981
The Nightingale, TriS, n/a, n/a, n/a, n/a, 1/25/2019
NightLights, Indic., $21147, 6, $6414, 3, 8/29/2014
The Nightmare, Grav., $28281, 16, $13363, 16, 6/5/2015
A Nightmare on Elm Street, NL, $25504513, 380, $1271000, 165, 11/9/1984
A Nightmare on Elm Street (2010), WB (NL), $63075011, 3332, $32902299, 3332, 4/30/2010
A Nightmare on Elm Street 2: Freddy's Revenge, NL, $29999213, 614, $2865475, 522, 11/1/1985
A Nightmare on Elm Street 3: Dream Warriors, NL, $44793222, 1383, $8880555, 1343, 2/27/1987
A Nightmare on Elm Street 4: The Dream Master, NL, $49369899, 1767, $12833403, 1765, 8/19/1988
A Nightmare on Elm Street 5: The Dream Child, NL, $22168359, 1902, $8115176, 1902, 8/11/1989
Nightmares, Uni., $6670680, 1025, $2572750, 1025, 9/2/1983
Nights and Weekends, IFC, $5430, 1, $2902, 1, 10/10/2008
Nights in Rodanthe, WB, $41850659, 2704, $13418454, 2704, 9/26/2008
Nights of Cabiria, Lope., n/a*, n/a, n/a, n/a, 10/28/1957
Nights of Cabiria (re-issue), Rialto, $752045*, 9, $38988, 2, 7/1/1998
Nightwatch, Mira., $1179002, 300, $585733, 300, 4/17/1998
Nijinsky, Par., $1047454, n/a, n/a, n/a, 3/21/1980
Nijinsky: The Diaries of..., Wells, $55968, 3, $3393, 1, 5/29/2002
Nil by Mouth, SPC, $266130, 18, $28367, 2, 2/6/1998
The Nile Hilton Incident, Strand, $81089, 9, $8183, 2, 8/11/2017
Nim's Island, Fox, $48006762, 3518, $13210579, 3513, 4/4/2008
Nimona, Fox, n/a, n/a, n/a, n/a, 2/14/2020
Nina's Heavenly Delights, Reg., $9936, 2, $267, 1, 11/21/2007
Nina's Tragedies, Wells, $238831, 15, $24456, 4, 3/25/2005
Nine, Wein., $19676965, 1412, $257232, 4, 12/18/2009
Nine Dead Gay Guys, TLA, $26377, 2, $3462, 1, 10/17/2003
Nine Lives, Magn., $478830, 33, $28387, 7, 10/14/2005
Nine Lives (2016), EC, $19700032, 2264, $6249915, 2264, 8/5/2016
Nine Months, Fox, $69684532, 1795, $12522240, 1458, 7/14/1995
Nine Nation Animation, Shorts, $38382, 2, $2834, 1, 9/29/2010
Nine Queens, SPC, $1222889, 36, $40724, 5, 4/19/2002
The Nines, NM, $63165, 5, $23617, 2, 8/31/2007
Ninja 3: The Domination, Can., $7610785, 530, $1727546, 530, 9/14/1984
Ninja Assassin, WB, $38122883, 2503, $13316158, 2503, 11/25/2009
Ninotchka, MGM, n/a, n/a, n/a, n/a, 11/3/1939
The Ninth Day, Kino, $72888, 4, $8786, 2, 5/27/2005
The Ninth Gate, Art., $18661336, 1694, $6622518, 1586, 3/10/2000
Nishabd, Eros, $73819, 25, $40684, 25, 3/2/2007
Nitro, All., $3768878, 74, n/a, n/a, 6/29/2007
Nitro Circus the Movie 3D, ArcEnt, $3377618, 800, $1183701, 800, 8/8/2012
Nixon, BV, $13681765, 977, $2206506, 514, 12/22/1995
No, NYer, $4868, 2, $4868, 2, 4/23/1999
No (2013), SPC, $2343664, 99, $71742, 4, 2/15/2013
No Country for Old Men, Mira., $74283625, 2037, $1226333, 28, 11/9/2007
No End in Sight, Magn., $1433319, 117, $31533, 2, 7/27/2007
No Entry, Eros, $678000, 49, $312000, 48, 8/26/2005
No Eres Tu Soy Yo, LGF, $1339911, 226, $588938, 226, 4/8/2011
No Escape, Sav., $15339030, 1765, $4588736, 1763, 4/29/1994
No Escape, Wein., $27288872, 3415, $8111264, 3355, 8/26/2015
No God No Master, Mont., $6796, 5, n/a, n/a, 3/28/2014
No Good Deed, MAC, $181600, 402, $127000, 402, 9/12/2003
No Good Deed (2014), SGem, $52543632, 2175, $24250283, 2175, 9/12/2014
No Greater Love, ADC, $29481, 22, $21520, 22, 11/10/2017
No Holds Barred, NL, $16093651, 1327, $4957052, 1318, 6/2/1989
No Home Movie, Icar., $32757, 5, n/a, n/a, 2/18/2016
No Impact Man, Osci., $100028, 8, $15215, 2, 9/11/2009
No Looking Back, Gram., $222099, 23, $44003, 7, 3/27/1998
No Man of Her Own, Par., n/a, n/a, n/a, n/a, 12/30/1932
No Man's Land, MGM, $1012153, 38, $22645, 2, 12/7/2001
No Man's Land (1987), Orion, $2877571, 510, $1088273, 510, 10/23/1987
No Manches Frida, PNT, $11528613, 465, $3676235, 362, 9/2/2016
No Mercy, TriS, $12303904, 1206, $2198069, 1206, 12/19/1986
No No: A Dockumentary, Orch., n/a, n/a, n/a, n/a, 9/5/2014
No One Killed Jessica, UTV, $440525, 48, $227473, 48, 1/7/2011
No One Knows About Persian Cats, IFC, $81768, 12, $8843, 2, 4/16/2010
No One Lives, Anch., $74918, 53, $47800, 53, 5/10/2013
No One's Life Is Easy: So I Married an Anti-Fan, CL, $89282, 22, $58767, 22, 7/1/2016
No Pay Nudity, Mont., $20017, 8, $3221, 3, 11/11/2016
No Place on Earth, Magn., $200238, 27, $13813, 2, 4/5/2013
No Place to Hide, Can., $135004, 215, $91000, 215, 4/16/1993
No Place to Hide (1970), N/A, n/a, n/a, n/a, n/a, 1970
No Problem, Eros, $285468, 84, $242116, 84, 12/10/2010
No Regret, Reg., $15347, 3, $4181, 2, 7/25/2008
No Reservations, WB, $43107979, 2425, $11704357, 2425, 7/27/2007
No Restraint, IFC, $16136, 6, $1241, 1, 12/20/2006
No Retreat No Surrender, NW, $4662137, 371, $739723, 241, 5/2/1986
No Small Affair, Col., $4994094, 1247, $2273469, 1247, 11/9/1984
No Strings Attached, Par., $70662220, 3050, $19652921, 3018, 1/21/2011
No Such Thing, MGM, $62703, 9, $25324, 9, 3/29/2002
No Tears for the Dead, CJ, $63063, 13, $8329, 1, 6/13/2014
No Turning Back, Inn., $8042, 4, $5521, 4, 6/13/2003
No Way Out, Orion, $35509515, 1130, $4259460, 806, 8/14/1987
Noah, Par., $101200044, 3571, $43720472, 3567, 3/28/2014
Noah's Arc: Jumping the Broom, Logo, $532878, 9, $151337, 5, 10/24/2008
Nobel Son, Free, $540382, 893, $333912, 893, 12/5/2008
Noble, Asp., $347321, 175, $231319, 175, 5/8/2015
Nobody, Pha., $488, 1, $488, 1, 6/4/1999
Nobody (2009), N/A, $14271, 1, $1336, 1, 10/1/2009
Nobody Else But You, FRun, $43040, 4, $3759, 2, 5/11/2012
Nobody Knows, IFC, $684118, 23, $32393, 2, 2/4/2005
Nobody Walks, Magn., $25342, 7, $7269, 2, 10/19/2012
Nobody's Fool, Par., $39491975, 1107, $92838, 6, 12/23/1994
Nobody's Fool (1986), Isld, $563358, 290, $258100, 290, 11/7/1986
Nobody's Perfect, Lorb., $2122, 1, $533, 1, 4/16/2010
Nobody's Perfekt, Col., n/a, n/a, n/a, n/a, 7/24/1981
Nocturama, Ghop, $26291, 4, $5402, 3, 8/11/2017
Nocturnal Animals, Focus, $10663357, 1262, $492648, 37, 11/18/2016
Noel, Conv., n/a, n/a, n/a, n/a, 11/12/2004
Noelle, 8X, $257868, 203, $165445, 203, 12/7/2007
Noi, Palm, $60555, 7, $4808, 1, 3/19/2004
Noise, Think, $16513, 2, $3687, 2, 5/9/2008
Noises Off, BV, $2280148, 451, $981452, 451, 3/20/1992
Nola, IDP, $10550, 19, $6010, 19, 8/29/2003
Noma - My Perfect Storm, Magn., $21130, 5, $2987, 4, 12/18/2015
Nomad (The Warrior), Wein., $79123, 60, $14250, 30, 3/16/2007
Nomads, Atl, $2278264, 496, $1013328, 496, 3/7/1986
The Nomi Song, Palm, $74631, 3, $14510, 2, 2/4/2005
Non-Stop, Uni., $92168600, 3183, $28875635, 3090, 2/28/2014
Nora, And., $15120, 8, $12297, 8, 5/4/2001
Norbit, P/DW, $95673607, 3145, $34195434, 3136, 2/9/2007
Norm of the North, LGF, $17062499, 2411, $6844137, 2411, 1/15/2016
Norma Rae, Fox, $22228000, n/a, $262778, 48, 3/2/1979
Normal Adolescent Behavior, NL, n/a, n/a, n/a, n/a, N/A
Normal Life, FL, $22891, 2, $3315, 1, 10/25/1996
Norman Lear: Just Another Version of You, MBox, $70950, 6, $16912, 2, 7/8/2016
Norman: The Moderate Rise and Tragic Fall of a New York Fixer, SPC, $3814868, 373, $99211, 5, 4/14/2017
Norte the End of History, CGld, $10457, 2, $2164, 1, 6/20/2014
North, Col., $7182747, 1481, $3036050, 1481, 7/22/1994
North by Northwest, MGM, n/a, n/a, n/a, n/a, 7/28/1959
North Country, WB, $18337722, 2555, $6422455, 2555, 10/21/2005
North Dallas Forty, Par., $26079312, n/a, n/a, n/a, 8/1/1979
North Face, MBox, $711421, 36, $23050, 4, 1/29/2010
North Sea Texas, Strand, $28307, 3, $4487, 3, 11/2/2012
North Shore, Uni., $3832228, 802, $1319290, 802, 8/14/1987
North to Alaska, Fox, n/a, n/a, n/a, n/a, 11/7/1960
Northern Lights (2013 re-release), APD/C, $9453, 2, $2256, 1, 9/20/2013
Northern Limit Line, WGUSA, $337907, 13, $108255, 13, 7/17/2015
Northern Soul, Free, $8886, 10, $6786, 10, 10/2/2015
Northfork, ParC, $1420578, 71, $61481, 5, 7/11/2003
Norwegian Wood, RF, $13000, 3, $13000, 3, 1/6/2012
Nosferatu (1922), FArts, n/a, n/a, n/a, n/a, 6/3/1929
Nostalghia, KL, $18846, 1, $5233, 1, 5/31/2013
Nostalgia, BST, n/a, n/a, n/a, n/a, 2/16/2018
Nostalgia for the Light, Icar., $163488, 6, $5664, 1, 1/13/2011
Nostradamus, OrionC, $364164, 9, $27312, 5, 9/16/1994
Not Another Teen Movie, Sony, $38252284, 2365, $12615116, 2365, 12/14/2001
Not Bad for a Girl, Hor., $6152, n/a, n/a, n/a, 10/18/1996
Not Cool, SM, $36026, 1, $10329, 1, 9/19/2014
Not Easily Broken, SGem, $10572742, 725, $5314278, 724, 1/9/2009
Not Fade Away, ParV, $610792, 565, $19182, 3, 12/21/2012
Not Forgotten, Anch., $53744, 4, $18468, 4, 5/15/2009
Not One Less, SPC, $592586, 24, $50256, 6, 2/18/2000
Not Quite Hollywood, Magn., $21152, 6, $4694, 2, 7/31/2009
Not Today, Free, $318121, 41, $96347, 41, 4/12/2013
Not Without My Daughter, MGM, $14789113, 1141, $3804055, 1137, 1/11/1991
The Notebook, NL, $81001787, 2323, $13464745, 2303, 6/25/2004
The Notebook (2014), SPC, $66559, 15, $3127, 2, 8/29/2014
Notes from Underground, N.Arts, n/a, n/a, n/a, n/a, 11/29/1996
Notes on a Scandal, FoxS, $17510118, 682, $414487, 22, 12/25/2006
Notes on Marie Menken, Icar., $577, 1, $577, 1, 2/9/2007
Nothing Bad Can Happen, Drft., $4870, 8, $2853, 4, 6/27/2014
Nothing But a Man (2012 re-release), APD/C, $13063, 2, $3466, 1, 11/9/2012
Nothing But the Truth, YFG, n/a, n/a, n/a, n/a, TBD
Nothing But Trouble, WB, $8479793, 1671, $3966240, 1671, 2/15/1991
Nothing in Common, TriS, $32324557, 980, $3279650, 618, 8/1/1986
Nothing Left to Fear, Anch., $7886, 5, $7886, 5, 10/4/2013
Nothing Like the Holidays, Over., $7503736, 1671, $3531664, 1671, 12/12/2008
Nothing Personal, Trim., $40374, 1, $5563, 1, 4/25/1997
Nothing to Declare (Rien a declarer), N/A, n/a, n/a, n/a, n/a, N/A
Nothing to Lose, BV, $44480039, 1888, $11617767, 1862, 7/18/1997
Notorious (1946), RKO, n/a, n/a, n/a, n/a, 8/15/1946
Notorious (2009), FoxS, $36843682, 1641, $20497596, 1638, 1/16/2009
The Notorious Bettie Page, PicH, $1415082, 73, $143131, 20, 4/14/2006
Notorious C.H.O., Wells, $1033395, 26, $13188, 1, 6/28/2002
Notting Hill, Uni., $116089678, 2786, $21811180, 2747, 5/28/1999
Nouvelle-France, Chri., $1599716, 80, $468625, 80, 11/19/2004
November, SPC, $192186, 27, $21813, 8, 7/22/2005
November Criminals, VE, n/a, n/a, n/a, n/a, 12/8/2017
The November Man, Rela., $25018119, 2776, $7911597, 2776, 8/27/2014
Novitiate, SPC, $2564276, 118, $22724, 3, 10/27/2017
Novocaine, Art., $2036682, 189, $418098, 105, 11/16/2001
Now & Later, CLS, $1808, 1, $1516, 1, 2/18/2011
Now and Forever, Illm., n/a, 10, n/a, 10, 8/19/2005
Now and Then, NL, $27112329, 1713, $7440173, 1572, 10/20/1995
Now You See Me, LG/S, $117723989, 3082, $29350389, 2925, 5/31/2013
Now You See Me 2, LG/S, $65075540, 3232, $22383146, 3232, 6/10/2016
Now Forager, Argo., $11146, 4, $1539, 1, 10/3/2012
NOW: In the Wings on a World Stage, Spa., $49591, 3, $21500, 3, 5/2/2014
Nowhere, FL, $194201, 6, $27354, 2, 5/9/1997
Nowhere Boy, Wein., $1457248, 215, $52749, 4, 10/8/2010
Nowhere in Africa, Zeit., $6180200, 78, $22070, 2, 3/7/2003
Nowhere Man, FRun, $3105, 2, $173, 1, 3/11/2005
Nowhere to Hide, NCeV, $847468, n/a, n/a, n/a, 1987
Nowhere to Run, Col., $22189039, 1776, $8203255, 1745, 1/15/1993
Nowitzki, Magn., $41340, 4, $20049, 4, 7/10/2015
Nuclear Nation, FRun, $4960, 1, $2268, 1, 12/11/2013
The Nude Bomb, Uni., $14662035, n/a, $3565066, 793, 5/9/1980
Nuit de noces, Sev., $1238180, 76, $241697, 75, 6/1/2001
The Number 23, NL, $35193167, 2759, $14602867, 2759, 2/23/2007
Number One Fan, Distrib., $15549, 1, $1023, 1, 9/4/2015
Number One with a Bullet, Can., $410952, 223, $210761, 223, 2/27/1987
The Nun, WB (NL), n/a, n/a, n/a, n/a, 7/13/2018
Nuns on the Run, Fox, $10959015, 702, $658835, 76, 3/16/1990
Nunzio, Uni., $52195, n/a, n/a, n/a, 5/12/1978
Nurse Betty, USA, $25170054, 1491, $7145950, 1459, 9/8/2000
Nursery University, Vari., $26042, 4, $11307, 1, 4/24/2009
The Nut Job, ORF, $64251541, 3472, $19423000, 3427, 1/17/2014
The Nut Job 2: Nutty by Nature, ORF, $28370522, 4003, $8342311, 4003, 8/11/2017
The Nutcracker, WB, $2119994, 786, $783721, 786, 11/24/1993
The Nutcracker and the Four Realms, BV, n/a, n/a, n/a, n/a, 11/2/2018
The Nutcracker in 3D, Free, $195459, 115, $65944, 42, 11/24/2010
The Nutcracker Prince, WB, $1781694, 906, $908999, 906, 11/21/1990
Nutcracker: The Motion Picture, Atl, $781727, 597, $351633, 597, 11/26/1986
Nuts, WB, $30950002, 1112, $4606083, 536, 11/20/1987
Nuts!, Cartuna, $44230, 7, n/a, n/a, 6/22/2016
The Nutty Professor (1963), Par., n/a, n/a, n/a, n/a, 6/4/1963
