title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
The 24th Tournee of Animation, EXPe, $1012881, n/a, n/a, n/a, 9/17/1993
25th Hour, BV, $13084595, 495, $108865, 5, 12/19/2002
27 Dresses, Fox, $76808654, 3074, $23007725, 3057, 1/18/2008
28 Days, Sony, $37170488, 2523, $10310672, 2523, 4/14/2000
28 Days Later, FoxS, $45064915*, 1407, $10061858, 1260, 6/27/2003
28 Days Later (Secret Cinema), N/A, n/a*, n/a, n/a, n/a, TBD
28 Hotel Rooms, Osci., $18869, 5, $1869, 1, 11/9/2012
28 Weeks Later, FoxA, $28638916, 2305, $9807292, 2303, 5/11/2007
29th Street, Fox, $2120564, 131, $431660, 131, 11/1/1991
2:22, Magn., $422, 3, $294, 3, 6/30/2017
2by4, Strand, $17162, 1, $8163, 1, 11/26/1999
The 2nd Animation Celebration, EXPe, $1487606, n/a, n/a, n/a, 7/27/1989
3 (2011), Strand, $59954, 6, $9821, 4, 9/16/2011
3 1/2 Minutes 10 Bullets, Part., $30407, 8, $2238, 1, 6/19/2015
3 Backyards, Scre., $43073, 3, $11332, 1, 3/11/2011
3 Days to Kill, Rela., $30697999, 2872, $12242218, 2872, 2/21/2014
3 Geezers!, N/A, $4175, 15, $1372, 15, 5/22/2013
3 Generations, Wein., $68852, 37, $18131, 6, 5/5/2017
3 Godfathers, MGM, n/a, n/a, n/a, n/a, 12/1/1948
3 Hearts, Cohen, $164992, 29, $11794, 1, 3/13/2015
3 Idiotas, PNT, $1249233, 349, $609249, 349, 6/2/2017
3 Idiots, Relbig., $6532874, 156, $1645502, 119, 12/23/2009
3 Needles, Wlfe., n/a, 7, n/a, 7, 12/1/2006
3 Nights in the Desert, Mont., $1297, 2, $234, 2, 2/6/2015
3 Ninjas, BV, $29000301, 1954, $5888920, 1912, 8/7/1992
3 Ninjas Kick Back, TriS, $11798854, 2043, $3556310, 2038, 5/6/1994
3 Ninjas Knuckle Up, Sony, $413479, 52, $67789, 52, 3/10/1995
3 Ninjas: High Noon at Mega Mountain, Sony, $375805, 120, $150127, 120, 4/10/1998
The 3 Rooms of Melancholia, Icar., $19317, 2, $5025, 1, 7/29/2005
3 Strikes, MGM, $9832166, 678, $3684704, 678, 3/1/2000
3 Weeks in Yerevan, RME, $45536, 4, $29245, 3, 9/16/2016
321... Frankie Go Boom, Vari., n/a, 12, n/a, 12, 10/12/2012
3-Iron, SPC, $241914, 31, $20084, 7, 4/29/2005
30 Beats, RAtt., $14693, 15, $8624, 15, 7/20/2012
30 Days of Night, Sony, $39568996, 2859, $15951902, 2855, 10/19/2007
